country,year,oze_share,energy_price,inflation,gdp_per_capita
Sweden,2018,53.916,0.19824666666666665,2.0,46700.0
Slovenia,2018,21.378,0.15688666666666667,1.9,22720.0
Slovakia,2018,11.896,0.13206666666666667,2.5,17380.0
Albania,2019,38.042,0.08238333333333332,1.7,4850.0
Austria,2019,33.755,0.19271333333333332,1.5,45730.0
Belgium,2019,9.929,0.26270333333333334,1.3,42400.0
Bulgaria,2019,21.545,0.08736000000000001,2.5,9650.0
Cyprus,2019,13.777,0.20420333333333335,0.5,25790.0
Czech Republic,2019,16.239,0.17073333333333332,2.6,22050.0
Germany,2019,17.266,0.25598333333333334,1.4,43790.0
Denmark,2019,37.02,0.21151,0.7,54630.0
Estonia,2019,31.73,0.11939333333333332,2.3,21650.0
Greece,2019,19.633,0.15687666666666666,0.5,17210.0
Spain,2019,17.852,0.24163333333333334,0.8,26930.0
Finland,2019,42.807,0.17800666666666667,1.1,43910.0
France,2019,17.174,0.18506,1.3,37160.0
Croatia,2019,28.466,0.13134666666666667,0.8,14020.0
Hungary,2019,12.634,0.09527666666666666,3.4,14980.0
Ireland,2019,11.979,0.24167333333333335,0.9,71720.0
Iceland,2019,78.612,0.14706999999999998,2.0,58770.0
Italy,2019,18.181,0.24273999999999998,0.7,30680.0
Lithuania,2019,25.474,0.10590666666666666,2.2,17870.0
Luxembourg,2019,7.046,0.18635000000000002,1.7,104310.0
Latvia,2019,40.929,0.14480333333333334,2.7,15820.0
Montenegro,2019,37.722,0.10390666666666666,0.5,7780.0
North Macedonia,2019,17.485,0.07096666666666666,0.7,6070.0
Malta,2019,8.23,0.21539666666666665,1.5,29480.0
Netherlands,2019,8.886,0.1747,2.7,48970.0
Norway,2019,74.406,0.19218666666666667,2.3,63630.0
Poland,2019,15.377,0.11755,2.2,14310.0
Portugal,2019,30.623,0.19423,0.3,21150.0
Romania,2019,24.29,0.11868,3.9,11760.0
Serbia,2019,21.443,0.09672666666666667,1.9,7130.0
Sweden,2019,55.785,0.20084666666666667,1.7,47410.0
Slovenia,2019,21.968,0.1571833333333333,1.7,23330.0
Slovakia,2019,16.894,0.13964666666666667,2.8,17760.0
Albania,2020,45.015,0.08186666666666667,2.2,4710.0
Austria,2020,36.545,0.20189333333333334,1.4,42650.0
Belgium,2020,13.0,0.25189,0.4,40190.0
Bulgaria,2020,23.319,0.08793333333333334,1.2,9440.0
Cyprus,2020,16.879,0.18592666666666666,-1.1,24630.0
Czech Republic,2020,17.303,0.17422333333333334,3.3,20980.0
Germany,2020,19.09,0.25749,0.4,42020.0
Denmark,2020,31.681,0.19665666666666667,0.3,53540.0
Estonia,2020,30.069,0.11217333333333333,-0.6,20960.0
Greece,2020,21.749,0.16299000000000002,-1.3,15660.0
Spain,2020,21.22,0.23715,-0.3,23850.0
Finland,2020,43.939,0.17722000000000002,0.4,42740.0
France,2020,19.109,0.20319666666666666,0.5,34230.0
Croatia,2020,31.023,0.13005666666666665,0.0,12980.0
Hungary,2020,13.85,0.08857,3.4,14370.0
Ireland,2020,16.16,0.23562222222222223,-0.5,75820.0
Iceland,2020,83.725,0.13264666666666666,1.2,54190.0
Italy,2020,20.359,0.22907333333333335,-0.2,28100.0
Lithuania,2020,26.773,0.11630666666666666,1.1,17890.0
Luxembourg,2020,11.699,0.20137,0.0,102190.0
Latvia,2020,42.132,0.14179666666666665,0.1,15370.0
Montenegro,2020,43.77,0.10219,-0.5,6610.0
North Macedonia,2020,19.222,0.07286333333333334,1.2,5840.0
Malta,2020,10.714,0.21426333333333333,0.8,27870.0
Netherlands,2020,13.999,0.11191666666666666,1.1,46810.0
Norway,2020,77.358,0.14872666666666667,1.2,62400.0
Poland,2020,16.102,0.12930333333333335,3.6,14310.0
Portugal,2020,33.982,0.19293666666666667,-0.1,19360.0
Romania,2020,24.478,0.12361666666666667,2.3,11390.0
Serbia,2020,26.297,0.10074333333333334,1.8,7110.0
Sweden,2020,60.124,0.1656111111111111,0.7,46180.0
Slovenia,2020,25.0,0.14614,-0.3,22230.0
